Movie,Genre,Runtime,Rating,Votes,Year,Synopsis,Actors,Certificate,Image
Gen V,"Action, Adventure, Comedy",,8,"13,679",2023–,"From the world of ""The Boys"" comes ""Gen V,"" which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the school's top ranking.","Jaz Sinclair, Chance Perdomo, Lizze Broadway, Maddie Phillips",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ahsoka,"Action, Adventure, Drama",,7.8,"69,947",2023–,"After the fall of the Galactic Empire, former Jedi Knight Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.","Rosario Dawson, David Tennant, Natasha Liu Bordizzo, Mary Elizabeth Winstead",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Loki,"Action, Adventure, Fantasy",53 min,8.2,"359,924",2021–,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Tom Hiddleston, Owen Wilson, Sophia Di Martino, Gugu Mbatha-Raw",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Wheel of Time,"Action, Adventure, Drama",60 min,7.1,"125,052",2021–,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
One Piece,"Action, Adventure, Comedy",60 min,8.4,"109,063",2023–,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'","Iñaki Godoy, Emily Rudd, Mackenyu, Vincent Regan",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Game of Thrones,"Action, Adventure, Drama",57 min,9.2,"2,210,832",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",18,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Castlevania: Nocturne,"Animation, Action, Adventure",30 min,7.7,"5,717",2023–,"During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire.","Edward Bluemel, Thuso Mbedu, Pixie Davies, Richard Dormer",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Our Flag Means Death,"Action, Adventure, Biography",30 min,7.8,"34,254",2022–,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.,"Rhys Darby, Joel Fry, Samson Kayo, Matthew Maher",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
One Piece: Wan pîsu,"Animation, Action, Adventure",24 min,8.9,"196,732",1999–,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka, Akemi Okamura, Laurent Vernin, Tony Beck",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jujutsu Kaisen,"Animation, Action, Adventure",24 min,8.5,"86,722",2020–,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki, Yûichi Nakamura, Adam McArthur, Yuma Uchida",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Doctor Who,"Adventure, Drama, Sci-Fi",45 min,8.6,"235,454",2005–,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mandalorian,"Action, Adventure, Fantasy",40 min,8.7,"562,580",2019–2023,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Chris Bartlett, Katee Sackhoff, Carl Weathers",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shingeki no Kyojin,"Animation, Action, Adventure",24 min,9,"443,081",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rick and Morty,"Animation, Adventure, Comedy",23 min,9.1,"570,237",2013–,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland",15,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Witcher,"Action, Adventure, Drama",60 min,8,"553,288",2019–,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill, Freya Allan, Anya Chalotra, Eamon Farren",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bleach: Sennen Kessen-hen,"Animation, Action, Adventure",24 min,9,"30,769",2022–,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Johnny Yong Bosch, Masakazu Morita, Richard Epcar, Takayuki Sugô",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Pacific,"Action, Adventure, Drama",530 min,8.3,"121,590",2010,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines.","James Badge Dale, Joseph Mazzello, Jon Seda, Ashton Holmes",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Castlevania,"Animation, Action, Adventure",23 min,8.3,"74,910",2017–2021,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Last of Us,"Action, Adventure, Drama",50 min,8.8,"460,980",2023–,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Pedro Pascal, Bella Ramsey, Anna Torv, Gabriel Luna",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
House of the Dragon,"Action, Adventure, Drama",,8.5,"342,643",2022–,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.","Rhys Ifans, Matt Smith, Graham McTavish, Fabien Frankel",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars Rebels,"Animation, Action, Adventure",22 min,8.1,"54,579",2014–2018,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,"Dave Filoni, Taylor Gray, Freddie Prinze Jr., Vanessa Marshall",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: The Clone Wars,"Animation, Action, Adventure",23 min,8.4,"113,819",2008–2020,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
